function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_alarm	c:@F@p101_alarm	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	alarm	c:@F@alarm
p101_execv	c:@F@p101_execv	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	execv	c:@F@execv
p101_execve	c:@F@p101_execve	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	execve	c:@F@execve
p101_execvp	c:@F@p101_execvp	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	execvp	c:@F@execvp
p101_fork	c:@F@p101_fork	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	fork	c:@F@fork
p101_getpgid	c:@F@p101_getpgid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getpgid	c:@F@getpgid
p101_getpgrp	c:@F@p101_getpgrp	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getpgrp	c:@F@getpgrp
p101_getpid	c:@F@p101_getpid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getpid	c:@F@getpid
p101_getppid	c:@F@p101_getppid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getppid	c:@F@getppid
p101_getpriority	c:@F@p101_getpriority	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/sys/resource.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_resource.h	yes	yes	yes	getpriority	c:@F@getpriority
p101_getrlimit	c:@F@p101_getrlimit	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/sys/resource.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_resource.h	yes	yes	yes	getrlimit	c:@F@getrlimit
p101_getrusage	c:@F@p101_getrusage	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/sys/resource.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_resource.h	yes	yes	yes	getrusage	c:@F@getrusage
p101_getsid	c:@F@p101_getsid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getsid	c:@F@getsid
p101_kill	c:@F@p101_kill	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	kill	c:@F@kill
p101_killpg	c:@F@p101_killpg	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/signal.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_signal.h	yes	yes	yes	killpg	c:@F@killpg
p101_nice	c:@F@p101_nice	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	nice	c:@F@nice
p101_pause	c:@F@p101_pause	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	pause	c:@F@pause
p101_pclose	c:@F@p101_pclose	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	pclose	c:@F@pclose
p101_popen	c:@F@p101_popen	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	popen	c:@F@popen
p101_posix_spawn	c:@F@p101_posix_spawn	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn	c:@F@posix_spawn
p101_posix_spawn_file_actions_addclose	c:@F@p101_posix_spawn_file_actions_addclose	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn_file_actions_addclose	c:@F@posix_spawn_file_actions_addclose
p101_posix_spawn_file_actions_adddup2	c:@F@p101_posix_spawn_file_actions_adddup2	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn_file_actions_adddup2	c:@F@posix_spawn_file_actions_adddup2
p101_posix_spawn_file_actions_addopen	c:@F@p101_posix_spawn_file_actions_addopen	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn_file_actions_addopen	c:@F@posix_spawn_file_actions_addopen
p101_posix_spawn_file_actions_destroy	c:@F@p101_posix_spawn_file_actions_destroy	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn_file_actions_destroy	c:@F@posix_spawn_file_actions_destroy
p101_posix_spawn_file_actions_init	c:@F@p101_posix_spawn_file_actions_init	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawn_file_actions_init	c:@F@posix_spawn_file_actions_init
p101_posix_spawnattr_destroy	c:@F@p101_posix_spawnattr_destroy	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_destroy	c:@F@posix_spawnattr_destroy
p101_posix_spawnattr_getflags	c:@F@p101_posix_spawnattr_getflags	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getflags	c:@F@posix_spawnattr_getflags
p101_posix_spawnattr_getpgroup	c:@F@p101_posix_spawnattr_getpgroup	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getpgroup	c:@F@posix_spawnattr_getpgroup
p101_posix_spawnattr_getsigdefault	c:@F@p101_posix_spawnattr_getsigdefault	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getsigdefault	c:@F@posix_spawnattr_getsigdefault
p101_posix_spawnattr_getsigmask	c:@F@p101_posix_spawnattr_getsigmask	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getsigmask	c:@F@posix_spawnattr_getsigmask
p101_posix_spawnattr_init	c:@F@p101_posix_spawnattr_init	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_init	c:@F@posix_spawnattr_init
p101_posix_spawnattr_setflags	c:@F@p101_posix_spawnattr_setflags	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_setflags	c:@F@posix_spawnattr_setflags
